Alert name,Priority value,Follow up time in days
ICECUBE,2,30
ICECUBE BRONZE,2,30
ICECUBE GOLD,2,30
ICECUBE Astrotrack Bronze,2,30
ICECUBE Astrotrack Gold,2,30
IC-HAWC,2,30
LVC Preliminary,2,30
LVC Initial Skymap,2,30
LVC Update Skymap,2,30
LVC Retraction,0,30
ATels,3,365
Blazar,3,365
Flaring Blazar,3,365
Flaring AGN,3,365
TDE,4,365
TDE-H-He,4,365
TDE-He,4,365
GRB,5,30
MAXI,5,30
MAXI Position,5,30
SuperAGILE GRB Position,5,30
SuperAGILE GRB Ground Position,5,30
HAWC,5,30
HAWC Burst Monitor,5,30
Fermi-LAT Position,5,30
Fermi LAT Offline Position,5,30
Fermi-GBM Position,5,30
Fermi GBM Flight Position,5,30
Fermi GBM Final Position,5,30
Fermi-GBM Flight Position,5,30
INTEGRAL,5,30
INTEGRAL Refined,5,30
INTEGRAL Offline,5,30
INTEGRAL Wakeup,0,30
Swift-BAT GRB Position,5,30
AGN,6,365
Galaxy,6,365
SLSN,7,30
SLSN-I,7,30
SLSN-II,7,30
FBOT,7,15
SN,7,15
SN I,7,15
SN II,7,15
SN IIn,7,15
SN IIn-pec,7,15
SN IIp,7,15
SN IIb,7,15
SN II-pec,7,15
SN Ib,7,15
SN Ib-pec,7,15
SN Ib-Ca-rich,7,15
SN Ibn,7,15
SN Ibn/Icn,7,15
SN Ib/c,7,15
SN Ic,7,15
SN Ic-pec,7,15
SN Ic-BL,7,15
SN Icn,7,15
SN Ien,7,15
FRB,8,365
STEADY,8,1000
TEST LVC Preliminary,0,30
TEST LVC Initial Skymap,0,30
TEST LVC Update Skymap,0,30
MAXI Test Position,0,30
SuperAGILE GRB Test Position,0,30
Fermi-GBM Test Position,0,30
TEST INTEGRAL Refined,0,30
TEST INTEGRAL Offline,0,30
TEST INTEGRAL Wakeup,0,30
Fermi-LAT Test Position,0,30
Swift-BAT GRB Test Position,0,30
